VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-05-01 00:28:27,2019-05-01 00:34:23,1,1.50,1,N,162,137,1,6.5,3,0.5,2.05,0,0.3,12.35,2.5
1,2019-05-01 00:02:25,2019-05-01 00:18:42,0,7.90,1,N,138,233,1,24,3,0.5,5.09,6.12,0.3,39.01,2.5
1,2019-05-01 00:45:49,2019-05-01 01:03:42,0,3.50,1,N,164,239,1,13,3,0.5,2,0,0.3,18.8,2.5
2,2019-05-01 00:06:52,2019-05-01 00:12:43,2,1.23,1,N,231,87,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,2019-05-01 00:41:03,2019-05-01 00:47:07,1,1.13,1,N,231,209,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
1,2019-05-01 00:03:07,2019-05-01 00:34:00,1,12.20,1,N,138,40,1,37.5,0.5,0.5,7.75,0,0.3,46.55,0
2,2019-05-01 00:26:01,2019-05-01 00:30:45,1,1.12,1,N,68,90,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,2019-05-01 00:09:09,2019-05-01 00:38:40,1,21.03,2,N,132,261,1,52,0,0.5,11.06,0,0.3,66.36,2.5
2,2019-05-01 00:53:17,2019-05-01 01:05:08,1,4.56,1,N,232,25,2,15.5,0.5,0.5,0,0,0.3,19.3,2.5
2,2019-05-01 00:19:27,2019-05-01 00:56:11,1,4.29,1,N,48,226,1,24,0.5,0.5,4,0,0.3,31.8,2.5
1,2019-05-01 00:17:13,2019-05-01 00:28:42,1,5.40,1,N,239,244,1,17,3,0.5,1,0,0.3,21.8,2.5
1,2019-05-01 00:30:06,2019-05-01 00:49:07,1,3.80,1,N,244,18,1,16,0.5,0.5,1,0,0.3,18.3,0
1,2019-05-01 00:44:30,2019-05-01 01:01:18,1,4.00,1,N,125,189,1,15,3,0.5,3.75,0,0.3,22.55,2.5
1,2019-05-01 00:18:33,2019-05-01 00:26:51,1,1.20,1,N,230,186,1,7,3,0.5,2.15,0,0.3,12.95,2.5
1,2019-05-01 00:51:01,2019-05-01 01:09:28,1,4.20,1,N,234,238,2,16,3,0.5,0,0,0.3,19.8,2.5
1,2019-05-01 00:10:27,2019-05-01 00:14:41,1,1.40,1,N,90,125,2,6,3,0.5,0,0,0.3,9.8,2.5
1,2019-05-01 00:31:05,2019-05-01 00:53:44,1,14.90,1,N,132,7,1,40.5,0.5,0.5,10.4,0,0.3,52.2,0
1,2019-05-01 00:05:37,2019-05-01 00:13:04,5,2.50,1,N,142,68,1,9,2.5,0.5,1.85,0,0.3,14.15,2.5
1,2019-05-01 00:37:12,2019-05-01 00:54:21,0,4.60,1,N,114,239,1,16.5,2.5,0.5,3.95,0,0.3,23.75,2.5
2,2019-05-01 00:05:06,2019-05-01 00:17:54,1,2.28,1,N,137,50,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
1,2019-05-01 00:03:34,2019-05-01 00:14:54,1,2.70,1,N,161,79,1,10.5,3,0.5,2.85,0,0.3,17.15,2.5
1,2019-05-01 00:14:16,2019-05-01 01:12:57,1,21.10,1,Y,138,29,2,66,0.5,0.5,0,0,0.3,67.3,0
1,2019-05-01 00:57:53,2019-05-01 01:10:06,1,2.70,1,N,231,79,1,11,3,0.5,2.96,0,0.3,17.76,2.5
2,2019-05-01 00:12:38,2019-05-01 00:31:41,1,3.65,1,N,249,33,1,15.5,0.5,0.5,5.79,0,0.3,25.09,2.5
2,2019-05-01 00:44:25,2019-05-01 01:08:02,1,6.04,1,N,125,61,1,21.5,0.5,0.5,5.06,0,0.3,30.36,2.5
2,2019-05-01 00:14:44,2019-05-01 00:20:13,1,.94,1,N,151,75,2,6,0.5,0.5,0,0,0.3,7.3,0
1,2019-05-01 00:02:14,2019-05-01 00:36:46,1,12.00,1,N,231,223,1,33,3,0.5,7.35,0,0.3,44.15,2.5
2,2019-05-01 00:23:22,2019-05-01 00:30:05,2,.68,1,N,262,236,2,6,0.5,0.5,0,0,0.3,9.8,2.5
1,2019-05-01 00:00:27,2019-05-01 00:05:00,1,1.30,1,N,239,48,1,6,3,0.5,1.95,0,0.3,11.75,2.5
1,2019-05-01 00:09:13,2019-05-01 00:15:16,2,1.50,1,N,50,229,1,7,3,0.5,2,0,0.3,12.8,2.5
1,2019-05-01 00:21:11,2019-05-01 00:26:33,1,2.30,1,N,163,239,1,8.5,3,0.5,2.45,0,0.3,14.75,2.5
1,2019-06-01 00:55:13,2019-06-01 00:56:17,1,.00,1,N,145,145,2,3,0.5,0.5,0,0,0.3,4.3,0
1,2019-06-01 00:06:31,2019-06-01 00:06:52,1,.00,1,N,262,263,2,2.5,3,0.5,0,0,0.3,6.3,2.5
1,2019-06-01 00:17:05,2019-06-01 00:36:38,1,4.40,1,N,74,7,2,17.5,0.5,0.5,0,0,0.3,18.8,0
1,2019-06-01 00:59:02,2019-06-01 00:59:12,0,.80,1,N,145,145,2,2.5,1,0.5,0,0,0.3,4.3,0
1,2019-06-01 00:03:25,2019-06-01 00:15:42,1,1.70,1,N,113,148,1,9.5,3,0.5,2.65,0,0.3,15.95,2.5
1,2019-06-01 00:28:31,2019-06-01 00:39:23,2,1.60,1,N,79,125,1,9.5,3,0.5,1,0,0.3,14.3,2.5
1,2019-06-01 00:46:46,2019-06-01 00:50:55,4,.60,1,N,211,148,2,4.5,3,0.5,0,0,0.3,8.3,2.5
1,2019-06-01 00:54:49,2019-06-01 01:02:57,2,1.20,1,N,79,249,1,7.5,3,0.5,1,0,0.3,12.3,2.5
1,2019-06-01 00:09:57,2019-06-01 00:25:54,2,2.00,1,N,158,68,2,11.5,3,0.5,0,0,0.3,15.3,2.5
1,2019-06-01 00:29:12,2019-06-01 01:03:13,1,8.60,1,N,186,243,1,31.5,3,0.5,7.05,0,0.3,42.35,2.5
2,2019-06-01 00:01:48,2019-06-01 00:16:06,1,1.74,1,N,107,148,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5
2,2019-06-01 00:17:41,2019-06-01 00:30:22,1,2.22,1,N,148,137,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,2019-06-01 00:33:26,2019-06-01 00:39:18,1,1.20,1,N,137,170,1,6,0.5,0.5,2.45,0,0.3,12.25,2.5
1,2019-06-01 00:01:42,2019-06-01 00:06:14,1,.70,1,N,229,141,1,5.5,3,0.5,1.7,0,0.3,11,2.5
2,2019-06-01 00:20:08,2019-06-01 00:28:56,1,1.83,1,N,113,161,1,8,0.5,0.5,1,0,0.3,12.8,2.5
